1680, 385, 1558, 392
1676, 385, 1554, 392
1670, 386, 1549, 393
1655, 384, 1537, 394
1653, 389, 1530, 399
1647, 390, 1523, 401
1637, 391, 1515, 403
1627, 395, 1510, 406
1621, 402, 1504, 412
1614, 410, 1497, 419
1602, 420, 1488, 426
1593, 430, 1482, 434
1586, 438, 1476, 439
1579, 449, 1472, 446
1576, 453, 1470, 448
1575, 453, 1471, 449
1576, 453, 1472, 449
1575, 453, 1473, 449
1574, 452, 1474, 448
1575, 451, 1475, 447
1575, 450, 1476, 446
425, 604, 308, 589
484, 604, 368, 579
505, 598, 400, 576
520, 602, 416, 582
533, 604, 417, 581
536, 603, 429, 583
534, 603, 426, 587
529, 604, 424, 587
524, 597, 422, 584
520, 593, 423, 579
510, 593, 415, 581
499, 597, 402, 585
483, 606, 387, 596
467, 608, 370, 603
452, 612, 360, 607
440, 614, 348, 610
434, 616, 341, 613
428, 620, 338, 615
420, 625, 329, 620
409, 628, 322, 625
400, 630, 313, 626
397, 629, 308, 628
392, 629, 303, 626
388, 627, 302, 625
388, 626, 295, 626
391, 627, 299, 628
392, 626, 302, 627
404, 624, 306, 628
418, 623, 309, 627
421, 626, 314, 632
420, 630, 310, 636
413, 633, 304, 640
414, 634, 303, 645
420, 634, 304, 645
423, 635, 309, 643
427, 636, 307, 640
430, 636, 311, 641
432, 637, 314, 641
433, 637, 318, 642
437, 638, 323, 642
438, 637, 324, 640
438, 635, 325, 638
441, 634, 326, 637
442, 632, 328, 635
443, 631, 330, 631
446, 628, 331, 629
455, 627, 338, 625
464, 627, 345, 624
467, 632, 348, 627
474, 633, 355, 628
483, 634, 366, 628
496, 634, 375, 628
510, 635, 385, 631
516, 636, 390, 634
521, 636, 393, 635
524, 636, 393, 637
523, 637, 392, 640
519, 636, 389, 639
516, 636, 387, 639
512, 636, 384, 640
503, 635, 377, 638
498, 633, 374, 636
489, 631, 369, 633
480, 629, 363, 631
475, 627, 359, 631
469, 624, 352, 629
468, 625, 349, 627
461, 622, 345, 626
461, 625, 343, 629
460, 627, 333, 634
456, 628, 329, 635
452, 629, 329, 636
449, 629, 325, 638
448, 629, 325, 637
446, 623, 329, 629
444, 619, 331, 625
443, 617, 332, 624
446, 614, 333, 620
446, 613, 333, 620
446, 612, 331, 618
447, 610, 334, 616
449, 609, 333, 617
457, 608, 335, 612
472, 602, 355, 612
487, 594, 363, 604
497, 586, 369, 599
505, 580, 375, 594
512, 576, 381, 590
520, 572, 388, 587
535, 566, 400, 582
546, 560, 410, 576
553, 558, 418, 573
555, 557, 420, 571
558, 554, 423, 568
558, 554, 423, 567
557, 554, 422, 565
